VENDOR_KEY,VENDOR_BESTNAME,TITLE,DOLLARS
0,-,"Aircraft, Ships, Subs and Land Combat Vehicles",3010743506
0,-,Research & Development,1230852005
0,-,Sustainment Supplies and Equipment,1152344580
3,Karl Steiger Gmbh Anlagenbau And Facility Management,Industrial Products and Services,88831
13,"Shirazi Trading Co.,",Management & Advisory Services,42996
13,"Shirazi Trading Co.,",Professional Services,42996
13,"Shirazi Trading Co.,",Research & Development,408955.47
2668,Miscellaneous Foreign Awardees,Miscellaneous Supplies and Equipment,26584517865
2668,Miscellaneous Foreign Awardees,Facilities and Construction,4895586750
2668,Miscellaneous Foreign Awardees,Transportation and Logistics Services,6994721899
10696,La Prensa,Miscellaneous Supplies and Equipment,5850
11035,Farmacia Griselda,Medical,26442.49
11201,De Haan Removals,Transportation and Logistics Services,295200
11532,Aranda & Cia,Transportation and Logistics Services,39606.63
11945,Mudanzas Orbe,Transportation and Logistics Services,29000
12877,Domestic Contractor (Undisclosed),Professional Services,1071031
12877,Domestic Contractor (Undisclosed),Management & Advisory Services,1071031
13656,Kortright Corporation,Information Technology (IT),99093
13670,"Labrea Heating And Air Conditioning Co., Inc.",Facilities and Construction,148650
13690,General Development Services,Facilities and Construction,62070
13698,Woodward Clyde Consultants,Facilities and Construction,1876758
13702,Norwedgen Space Centre,Electronic Communication Services,3987000
13708,Mcgill University,Research & Development,283846
13709,Arab Shipbuilding & Repair Yard Co,Equipment-Related Services,109796
13712,Tadiran Ltd,Information Technology (IT),16307685
13716,Junghans Feinwerktechik,Weapons & Ammunition,8602976
13718,Oto Melara S.P.A.,Weapons & Ammunition,386362
13720,Dar Al Majd Consulting Engine Ers,Facilities and Construction,2580642.14
13722,Flutningapelagido Sudurle,Transportation and Logistics Services,419325
13731,Forest Technology Systems Ltd,Electronic and Communication Equipment,8976
13731,Forest Technology Systems Ltd,Industrial Products and Services,137000
13733,Marianas Cablevision,Facilities and Construction,66507
13740,Santagati Carmelo,Facilities and Construction,61094
13743,Willi Strumm,Facilities and Construction,136520
13749,Air BP Ltd,Transportation and Logistics Services,77974666
13754,Semi S A,Facilities and Construction,34253
13771,International Social Security,Professional Services,29000
13777,Aerospatiales Industries Mecair Inc,Sustainment Supplies and Equipment,504184
13778,Tokyo Building Maintenance K.K.,Facilities and Construction,56000
13791,Ske Maintenance Gmbh & Co Kg/S,Facilities and Construction,1297
13832,Kg Bominflot Mbh & Co-Suc B Aires,Transportation and Logistics Services,12870843
13854,Standpipe Studios Llc,Human Capital,12570
13885,Braintree III Maritime Corp,Transportation and Logistics Services,84896405
13888,Braintree V Maritime Corp,Transportation and Logistics Services,65180451
13940,PECO Energy Co,Facilities and Construction,2158000
14028,"Berr International, Inc",Information Technology (IT),24386
14082,Dangerous Music Inc,Miscellaneous Supplies and Equipment,4250
14085,National Council On Child Abuse & Family Violence Inc,Research & Development,4000
14121,Genesis Technologies Inc,Information Technology (IT),24417.95
14121,Genesis Technologies Inc,Category Management Level 1 Without DOD,9663
