VENDOR_KEY,START_YEAR
10686100,2013
10686108,2005
10686110,2004
10686113,2005
10686117,2001
10686121,2008
10686122,2011
10686127,1992
10686128,2001
10686133,2006
10686135,1999
10686136,1980
10686144,1988
10686148,1983
10686149,1995
10686150,2008
10686152,2009
10686157,2010
10686164,1994
10686165,2013
10686166,1996
10686167,1998
10686170,1993
10686175,2011
10686176,2013
10686178,2013
10686179,2001
10686180,1979
10686181,1973
10686182,1994
10686183,1998
10686184,1995
10686185,1995
10686186,2004
10686217,1965
10686219,2006
10686225,2014
10686228,1977
10686229,2011
10686231,1983
10686251,1995
10686259,2013
10686260,1996
10686262,2014
10686263,2011
10686267,2011
10686268,2008
10686272,2003
10686273,2002
10686275,1990
