VENDOR_KEY,PRIME_NAME,SUB_NAME,SUB_AMOUNT,RK
2668,Miscellaneous Foreign Awardees,Bacik Group LLC,3921746.4,1
2668,Miscellaneous Foreign Awardees,Aruba Networks Inc,308231.23,2
2668,Miscellaneous Foreign Awardees,Sallyport Global Holdings Inc,181830.48,3
2668,Miscellaneous Foreign Awardees,Comtech EF Data Corp,161380,4
2668,Miscellaneous Foreign Awardees,Interconex Inc,116540,5
2668,Miscellaneous Foreign Awardees,By Light Professional It Services Inc,91382.17,6
2668,Miscellaneous Foreign Awardees,Florida Micro LLC,88737.8,7
2668,Miscellaneous Foreign Awardees,Optiv Security Inc,58891.06,8
2668,Miscellaneous Foreign Awardees,Sterling Computers Corp,51389,9
2668,Miscellaneous Foreign Awardees,TESSCO Inc,36205.05,10
2668,Miscellaneous Foreign Awardees,Air Cargo Transport Services Inc,35493,11
62764,KBRwyle Technology Solutions LLC,Canal Alarm Devices Inc,42684,1
83996,Uretek Usa Inc,Advanced Polymer Patching,25312.5,1
93293,Weston Solutions Inc,Environmental Restoration Group Inc,167403.57,1
93293,Weston Solutions Inc,Gulf Coast Analytical Laboratories Inc,161265,2
93293,Weston Solutions Inc,TestAmerica Laboratories Inc,72311.34,3
93293,Weston Solutions Inc,Aerial Patrol Inc,65250,4
93293,Weston Solutions Inc,EMSL Analytical Inc,56647,5
93293,Weston Solutions Inc,Carrizo Mountain Environmental & Herbarium Inc,41500,6
93293,Weston Solutions Inc,Mcginnis & Associates LLC,40004,7
93293,Weston Solutions Inc,Eurofins Lancaster Laboratories Environmental LLC,38262.05,8
93293,Weston Solutions Inc,Marron & Associates Inc,37493,9
93293,Weston Solutions Inc,Eberline Services Inc,33968,10
93293,Weston Solutions Inc,Lab/Cor Portland Inc,32530,11
93293,Weston Solutions Inc,"Empirical Laboratories, Llc",27351,12
171711,Leidos Inc,Roundarch Inc,79950283.27,1
171711,Leidos Inc,Applied Information Sciences Inc,26430972,2
171711,Leidos Inc,Teradata Government Systems LLC,15758834.85,3
171711,Leidos Inc,DLT Solutions Inc,14979332.56,4
171711,Leidos Inc,International Business Machines Corp,12348605.64,5
171711,Leidos Inc,Esolution Architects Inc,10061517.64,6
171711,Leidos Inc,Idea Integration Corp,9997158.08,7
171711,Leidos Inc,Roundarch,9402754.71,8
171711,Leidos Inc,One Network Enterprises Inc,8587914.27,9
171711,Leidos Inc,Interactive Process Technology LLC,5907936.03,10
171711,Leidos Inc,Exeter Government Services LLC,5425864.8,11
171711,Leidos Inc,Carahsoft Technology Corp,3573100.05,12
171711,Leidos Inc,Humanit Solutions LLC,3265964.9,13
171711,Leidos Inc,Informatica LLC,3224149.09,14
171711,Leidos Inc,Accenture National Security Services LLC,2899781.19,15
171711,Leidos Inc,DSD Laboratories Inc,2077775.45,16
171711,Leidos Inc,M&S Consulting LLC,1995614.54,17
171711,Leidos Inc,MicroLink LLC,1398920,18
171711,Leidos Inc,Onwire Consulting Group LLC,1086435.21,19
171711,Leidos Inc,Digital Prospectors Corp,988199.63,20
171711,Leidos Inc,Cluster Software Inc,977250.23,21
171711,Leidos Inc,TeamQuest Corp,961004,22
171711,Leidos Inc,Illumination Works LLC,794454.86,23
171711,Leidos Inc,HP Inc,774224.31,24
171711,Leidos Inc,Oracle America Inc,617713.2,25
